iteration, loss, accuracy
2060000, 0.002120, 0.90000
2070000, 0.002929, 0.82000
2080000, 0.002209, 0.90000
2090000, 0.001046, 0.94000
2100000, 0.002552, 0.84000
2110000, 0.001737, 0.92000
2120000, 0.001610, 0.92000
2130000, 0.003212, 0.80000
2140000, 0.002397, 0.84000
2150000, 0.002356, 0.82000
2160000, 0.002609, 0.92000
2170000, 0.002005, 0.94000
2180000, 0.001712, 0.90000
2190000, 0.001007, 0.96000
2200000, 0.002279, 0.88000
2210000, 0.002056, 0.90000
2220000, 0.001864, 0.92000
2230000, 0.002701, 0.86000
2240000, 0.001593, 0.92000
2250000, 0.001330, 0.96000
2260000, 0.002172, 0.92000
2270000, 0.002113, 0.90000
2280000, 0.001004, 0.96000
2290000, 0.001811, 0.88000
2300000, 0.001203, 0.96000
2310000, 0.001756, 0.96000
2320000, 0.002060, 0.88000
2330000, 0.002089, 0.96000
2340000, 0.001738, 0.94000
2350000, 0.001887, 0.96000
2360000, 0.001850, 0.90000
2370000, 0.001120, 0.96000
2380000, 0.001868, 0.94000
2390000, 0.001736, 0.94000
2400000, 0.001867, 0.96000
2410000, 0.002096, 0.90000
2420000, 0.002081, 0.86000
2430000, 0.001919, 0.90000
2440000, 0.001530, 0.92000
2450000, 0.002252, 0.86000
2460000, 0.001163, 0.94000
2470000, 0.001828, 0.92000
2480000, 0.001327, 0.94000
2490000, 0.001088, 0.96000
2500000, 0.001598, 0.92000
2510000, 0.001098, 0.94000
2520000, 0.002982, 0.80000
2530000, 0.001680, 0.90000
2540000, 0.001876, 0.88000
2550000, 0.001557, 0.92000
2560000, 0.001179, 0.96000
2570000, 0.001483, 0.92000
2580000, 0.002381, 0.84000
2590000, 0.001191, 0.94000
2600000, 0.001515, 0.90000
2610000, 0.000816, 0.98000
2620000, 0.001180, 0.96000
2630000, 0.001065, 0.96000
2640000, 0.001014, 0.98000
2650000, 0.001327, 0.92000
2660000, 0.001214, 0.96000
2670000, 0.001290, 0.94000
2680000, 0.001331, 0.96000
2690000, 0.001699, 0.92000
2700000, 0.000672, 0.98000
2710000, 0.001531, 0.92000
2720000, 0.000662, 1.00000
